id,SupplierReply,sentiment_scores
rev-eac63773-8559-43d0-a4ab-88fa5cc32268,"Bonjour, nous sommes heureux d'avoir pu trouver une solution ensemble. La Redoute vous renouvelle ses excuses. À bientôt, Oumaima de l'équipe Service Client.",0.0516
rev-2e9eb857-a5a8-4fd4-a436-089db3782858,"Bonjour, nous avons tenté de vous joindre sans succès. Afin de trouver une solution ensemble, je vous invite à vous rendre dans la rubrique Contact du site (qui se trouve dans notre footer ou via notre moteur de recherche) ou en copiant/collant dans votre navigateur l’adresse URL suivante: https://www.laredoute.fr/espace-contact-conseiller.aspx. Yousra de l’équipe Service Client.",0.4404
rev-4fe712bd-7451-4232-9d76-f05aaaa538c2,"Bonjour, ravi d'avoir pu vous joindre pour échanger au sujet de votre demande. Nous nous excusons de nouveau pour ce désagrément. A très bientôt à La Redoute ! Adnane de l'équipe Service Client.",-0.3382
rev-c1f26089-62da-4240-8e2b-b2dd3dc37f17,"Bonjour, nous avons tenté de vous joindre sans succès. Afin de trouver une solution ensemble, je vous invite à vous rendre dans la rubrique Contact du site (qui se trouve dans notre footer ou via notre moteur de recherche) ou en copiant/collant dans votre navigateur l’adresse URL suivante: https://www.laredoute.fr/espace-contact-conseiller.aspx. Yousra de l’équipe Service Client.",0.4404
rev-1df9979a-1ee4-4f11-a1bc-477b698a9208,"Bonjour, nous avons tenté de vous joindre sans succès. Afin de trouver une solution ensemble, je vous invite à vous rendre  dans
la rubrique Contact du site (qui se trouve dans notre footer ou via notre moteur de recherche) ou en copiant/collant dans votre navigateur l’adresse URL suivante :https://www.laredoute.fr/espace-contact-
.aspx ,Adnane de l’équipe Service Client.",0.4404
rev-9af5a3c4-7194-441e-815d-9d211b1271f8,"Bonjour, nous avons tenté de vous joindre sans succès. Afin de trouver une solution ensemble, je vous invite à vous rendre dans la rubrique Contact du site (qui se trouve dans notre footer ou via notre moteur de recherche) ou en copiant/collant dans votre navigateur l’adresse URL suivante :https://www.laredoute.fr/espace-contact-conseiller.aspx Adnane de l’équipe Service Client.",0.4404
rev-9a287b65-897b-4ac8-8293-34253f09fe12,"Bonjour, nous avons essayé de vous contacter. Pourriez-vous revenir vers nous via la rubrique Contact du site (qui se trouve dans notre footer ou via notre moteur de recherche) ou en copiant/collant dans votre navigateur l’adresse URL suivante : https://www.laredoute.fr/espace-contact-conseiller.aspx. Nos équipes restent mobilisées pour vous apporter une solution. À très vite, Oumaima de l’équipe Service Client.",0.3182
rev-8d6e0af5-ee33-418d-b8e3-277d46f52206,"Bonjour, nous avons tenté de vous joindre sans succès. Afin de trouver une solution ensemble, je vous invite à vous rendre dans la rubrique Contact du site (qui se trouve dans notre footer ou via notre moteur de recherche) ou en copiant/collant dans votre navigateur l’adresse URL suivante: https://www.laredoute.fr/espace-contact-conseiller.aspx. Yousra de l’équipe Service Client.",0.4404
rev-72b1f9b8-f09d-4c59-870a-6b306eaa98b3,"Bonjour, merci d'avoir pris le temps de nous partager votre avis. La Redoute ayant à cœur de répondre au mieux aux attentes de ses clients, nous ferons remonter votre commentaire afin d'améliorer nos services. Nous nous excusons de nouveau pour ce désagrément. Ilham de l'équipe Service Client.",0.0
rev-5f72a266-595f-488a-a8ff-228bf4ea6403,"Bonjour, nous avons tenté de vous joindre sans succès. Afin de trouver une solution ensemble, je vous invite à vous rendre dans la rubrique Contact du site (qui se trouve dans notre footer ou via notre moteur de recherche) ou en copiant/collant dans votre navigateur l’adresse URL suivante: https://www.laredoute.fr/espace-contact-conseiller.aspx. Yousra de l’équipe Service Client.",0.4404
rev-e309a034-6f44-4084-837d-053563ac5882,"Bonjour, nous sommes heureux d'avoir pu trouver une solution ensemble. La Redoute vous renouvelle ses excuses. A bientôt, Jamila de l'équipe Service Client.",0.0516
rev-e7d0d762-e5d4-4990-a9ee-15eb4d97e77a,"Bonjour, merci d'avoir pris le temps de nous partager votre avis. La Redoute ayant à cœur de répondre au mieux aux attentes de ses clients, nous ferons remonter votre commentaire afin d'améliorer nos services. Soukaina de l'équipe Service Client",0.0
rev-c38ab27a-e8a6-4631-91a1-5b0b92740f9f,"Bonjour, nous avons tenté de vous joindre sans succès. Afin de trouver une solution ensemble, je vous invite à vous rendre dans la rubrique Contact du site (qui se trouve dans notre footer ou via notre moteur de recherche) ou en copiant/collant dans votre navigateur l’adresse URL suivante: https://www.laredoute.fr/espace-contact-conseiller.aspx. Yousra de l’équipe Service Client.",0.4404
rev-9329cc75-56a0-4733-84a0-526fcded4480,"Bonjour, ravi d'avoir pu vous joindre pour vous apporter une solution. Nous nous excusons de nouveau pour ce désagrément. A très bientôt à La Redoute ! Lamia de l'équipe Service Client.",0.126
rev-73a94994-107e-481b-868e-e71fd91b1cdf,"Bonjour, merci d'avoir pris le temps de partager votre avis, nous sommes ravis d'apprendre que notre service expert a pu vous joindre pour vous apporter une solution. La Redoute vous présente ses excuses. À bientôt, Oumaima de l'équipe Service Client.",0.0516
rev-a1784417-0da3-4585-b1fc-13d29c14e7bf,"Bonjour, nous sommes heureux d'avoir pu trouver une solution ensemble. La Redoute vous renouvelle ses excuses. A bientôt, Oumaima de l'équipe Service Client.",0.0516
