"typography_heading-xs__jSwUz","link_internal__7XN06 href","typography_heading-xxs__QKBS8","typography_body-m__xgxZ_","typography_body-m__xgxZ_ 2","star-rating_starRating__4rrcf src","typography_body-m__xgxZ_ 3","link_internal__7XN06 href 2","typography_heading-s__f7029","typography_body-l__KUYFJ","typography_body-m__xgxZ_ 4","typography_body-m__xgxZ_ 5","typography_body-m__xgxZ_ 6","typography_body-m__xgxZ_ 7","typography_body-m__xgxZ_ 8"
"BE","https://fr.trustpilot.com/users/62b9f96545b4b60011d74393","Belle","3 avis","BE","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-4.svg","20 juil. 2022","https://fr.trustpilot.com/reviews/62d6f31f4c35e69ec513d797","La nouvelle collection été est très…","La nouvelle collection été est très sympa.J'ai commandé des habits et les tailles etaient bonnes.","19 juillet 2022","Date de l'expérience:","Utile","Partager",""
"AB","https://fr.trustpilot.com/users/571e00910000ff000a1a64ef","Abrieu","8 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","19 juil. 2022","https://fr.trustpilot.com/reviews/62d6ae0f8000af4a88449386","Commande passée il y a 8 jours en stock…","Commande passée il y a 8 jours en stock toujours pas livrée…","19 juillet 2022","Date de l'expérience:","Utile","Partager",""
"ET","https://fr.trustpilot.com/users/62d661f2824c880012605f8c","Elisa Tringali","1 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","19 juil. 2022","https://fr.trustpilot.com/reviews/62d662688000af4a8844379e","Je viens d'effectuer une commande en me…","Je viens d'effectuer une commande en me trompant d'adresse de livraison. J'appelle immédiatement pour faire modifier mon adresse de livraison il me dises que c'est pas possible donc en gros je n'aurai pas mon article et si le livreur le met dans une boîte je ne serai jamais rembourser je vous déconseille la redoute mauvais service client même médiocre !","19 juillet 2022","Date de l'expérience:","Utile","Partager","1"
"MA","https://fr.trustpilot.com/users/5e2f579ee5a4c73077895300","Marie","1 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-4.svg","18 juil. 2022","https://fr.trustpilot.com/reviews/62d528be4c35e69ec5123907","J'ai acheté un canapé laredoute…","J'ai acheté un canapé laredoute intérieur et je n'en suis pas déçue, il est de très bonne qualité. En revanche la livraison a été un peu longue.","15 avril 2022","Date de l'expérience:","Utile","Partager",""
"FL","https://fr.trustpilot.com/users/5cc894333e992b2f53365db4","flo","9 avis","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-4.svg","13 juil. 2022","https://fr.trustpilot.com/reviews/62ce4fe54c35e69ec50d7882","AM-PM (LYON PART DIEU). Etagères reçues en une semaine, en parfait état,","J'ai acheté les étagères noires métalliques 'Parallel' dans la boutique AM-PM Lyon 'Hotel Dieu'.La boutique est un peu bizarre, car ils veulent que l'on s'enregistre sur leur tablette I-pad en boutique au moment de payer, donc on commande en fait 'en ligne' au lieu de payer à la caisse ce qui est pour moi très désagréable et 10X plus lent, car il y a eu un problème de connection avec la carte bancaire donc à re-remplir deux fois! Mais nous n'avions pas le choix. Comme promis, les étagères sont arrivées en environ une semaine et en parfait état. Elles auraient même du arriver 3 jours plus tôt mais le courrier ne retrouvait plus le colis, retardant la livraison de quelques jours, mais 2 jours après nouveau sms reçu avec une nouvelle date de livraison. Traçable en directe.Livreurs ont amené l'énorme colis de 25 kilos dans mon salon. Etagères superbes, nickel, et arrivent déjà montées. Je recommande malgré les bémols.","13 juillet 2022","Date de l'expérience:","Utile","Partager",""
"JA","https://fr.trustpilot.com/users/6006a701674574001a5e2754","Jameson","2 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","12 juil. 2022","https://fr.trustpilot.com/reviews/62cd45eb4c35e69ec50c9f99","Expérience lamentable -","Expérience lamentable.Je commande une parure de lit avec taies d'oreillers.J'ouvre le colis, une taie est tâchée. La redoute me demande de la renvoyer pour l'échanger. Je trouve ça un peu culoter, et après de longs échanges je finis par me faire rembourser la taie puis le conseiller en commande une autre en direct (que je dois repayer bien sûr).Je reçois le nouvel article, celui n'a rien à voir, le conseiller s'est trompé dans la commande.Je rappelle pour demander un nouvel envoi, et rebelote c'est à moi de renvoyer le produit sinon pas d'envoi du nouveau produit.Bravo le chantage et la politique anti commercial !! j'ai perdu en tout et pour tout 1h30 au téléphone avec le service client pour .... une taie d'oreiller.Si La Redoute en est là, ils doivent vraiment être au bord du gouffre en termes de trésorerie.C'est terminé, je n'achèterai plus jamais chez eux. Déjà que la qualité est limite, mais le service client est déplorable. Ils préfèrent perdre des clients plutôt que faire un geste commercial qui me semble largement justifié ! 2 erreurs à la suite faut le faire ! mais ne pas les reconnaitre c’est le ponpon !Je vous conseille le site « 3 Suisses », ils sont bien meilleurs, avec un service client beaucoup plus compréhensif, et qui finalement fait la même chose et vend les mêmes produits.","12 juillet 2022","Date de l'expérience:","Utile","Partager",""
"","https://fr.trustpilot.com/users/625a7703986b470013ad0874","Elise Massé","2 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","11 juil. 2022","https://fr.trustpilot.com/reviews/62cc03000c20b4453c3602ea","Canapé-lit non reçu !","J'ai commandé un canapé-lit qui devait m'être livré début juillet. Il semble néanmoins être coincé avec leur transporteur et depuis aucun moyen d'avoir des informations fiables... Plus de 1200 euros débités sans rien en retour...","11 juillet 2022","Date de l'expérience:","Utile","Partager","Réponse : Laredoute"
"","https://fr.trustpilot.com/users/62c9991d29eead0012567a25","Clopinette Clochette","1 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","9 juil. 2022","https://fr.trustpilot.com/reviews/62c99952e77911f2449f29d0","Et une client de moins pour La Redoute!!!","Avant c'était une joie de commander du linge de maison à la redoute, maintenant c'est à chaque fois une grosse déception. Couleur matière et finition rien ne va!!! Drap housse à motifs clairement gris sur la photo, reçu en vert sauge oui mais vous êtes malins car aucune mention de la couleur dans le descriptif. Et que dire du percale de coton qui n'est en faite que du vulgaire coton. Pour la finition il faut commencer par enlever tous les fils qui dépassent, et s'armer de patience lors du repassage car le biais a été mal posé et ça frise.Bye Bye La Redoute et bonjour les spécialistes du linge de maison","09 juillet 2022","Date de l'expérience:","Utile","Partager",""
"ÉL","https://fr.trustpilot.com/users/5f6c434dd41eaa04c60864e1","Élodie","4 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","6 juil. 2022","https://fr.trustpilot.com/reviews/62c53fe8ba5bb6ef042d071b","Service client déplorable","Ça faisait un moment que je n'avais pas commandé sur la redoute. Je commande une paire de chaussures pour chacune de mes filles. Je les reçois, malheureusement une des paires ne va pas à ma fille. Je la renvoie dans la foulée, le service reçoit la paire de chaussures. Ma commande date du 13 mai, j'attends toujours mon remboursement. J'en suis à de nombreuses relances par mail mais rien à faire, personne ne me répond. Je trouve ça déplorable et c'est la dernière fois que je commande sur la redoute.","06 juillet 2022","Date de l'expérience:","Utile","Partager",""
"ZO","https://fr.trustpilot.com/users/606efff59ac5de001b1ea033","Zohra","2 avis","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","2 juil. 2022","https://fr.trustpilot.com/reviews/62c00880ba5bb6ef042969e4","La Redoute c'est la derniére fois !!!","Première fois que j'écris un commentaire ! Je pensai que c'était une entreprise fiable avec des processus mais c'est lamentable.  Nous avons commandé une table qui devait être livré le 23 juin. Le 23 juin aucune livraison, nous ne savons pas pourquoi. Reprogrammation le 30 juin et toujours aucune table. Nous attendons toute la journée comme si nous avions que ça à faire. 2 juillet toujours aucune table et pas de date de livraison programmée. Je suis terriblement déçue, je ne commanderai plus sur la Redoute.","02 juillet 2022","Date de l'expérience:","Utile","Partager",""
"PR","https://fr.trustpilot.com/users/62ae4aba08f877001401ecd8","PRT","2 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","19 juin 2022","https://fr.trustpilot.com/reviews/62ae4ac4266eedb3c15d4fe4","Excellent site pour l'achat de…","Excellent site pour l'achat de mobilier.Les produits sont toujours très qualitatif, on y trouve des pièces que l'on ne trouverez pas ailleurs.Le SAV est top.Le meilleurs site de déco à ce jour selon moi !","18 juin 2022","Date de l'expérience:","Utile","Partager",""
"TM","https://fr.trustpilot.com/users/62a9da07574a30001197baf8","Tony MK","1 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","15 juin 2022","https://fr.trustpilot.com/reviews/62a9da7f787382efe20d44d5","Ils prennent vraiment les gens pour des…","Ils prennent vraiment les gens pour des c***, j’ai passé une commande sur leur site, j’ai jamais réceptionné le colis et quand je demande mon remboursement à chaque fois j’ai le même discours « votre remboursement est en cours » ça fait 2 mois bordel ne commandez pas sur ce site","15 juin 2022","Date de l'expérience:","Utile","Partager","1"
"RL","https://fr.trustpilot.com/users/5f00575c58d8a7c208827fed","Robert Leygues","4 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","10 juin 2022","https://fr.trustpilot.com/reviews/62a2f5ae0031539b613b7173","J'ai passé commande d'une bibliothéque…","J'ai passé commande d'une bibliothéque AMPM avec livraison prévue le 10juin .N'ayant reçu aucun message de confirmation , et ne voulant pas perdre ma journée à attendre , je téléphone à 9h pour m'entendre  dire que suite à un incident technique je ne serai pas livré car commande annulée !!!Mais que je me rassure , mon copte ne serait pas débité ! J'ai de la chance , non ?  Je raye la redoute de mes fournisseurs potentiels : ils sont lamentables , car aucun respect du client !!!","10 juin 2022","Date de l'expérience:","Utile","Partager",""
"MS","https://fr.trustpilot.com/users/62a056b1b6b2dd0012763adf","M Sp","2 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","8 juin 2022","https://fr.trustpilot.com/reviews/62a056bc6d54f921070f6aeb","J’ai commandé un meuble TV via la…","J’ai commandé un meuble TV via la Redoute qui s’est révélé défectueux après quelques mois d’utilisation (plateau du haut s’affaisse et les charnières sont cassées alors que j’utilise très peu les portes ). Le meuble étant encore sous garantie je déclare un SAV. La redoute me met en contact avec le vendeur qui me renvoie un nouveau meuble neuf mais qui arrive très abîmé à domicile . J’en informe le vendeur qui me propose un remboursement sous 10 jours ouvres . Un mois et une semaine après je ne suis toujours pas remboursée sans aucune explication. Impossible d’avoir un interlocuteur autre qu’une plateforme téléphonique a l’étranger qui me répond inlassablement que le dossier est en cours et qu’ils transmettent la demande à qui de droit … chaque semaine on me demande de patienter 8 jours de plus … le vendeur m’a confirmé que les fonds et la demande de remboursement sont partis et sont entre les mains de la Redoute. Il ne me reste plus qu’à prendre un avocat puisque je suis face à un mur. Aucune prise en charge, aucun interlocuteur, aucune explication ! C’est honteux ! Il est hors de question que j’achète quoi que ce soit d’autre chez eux .","08 juin 2022","Date de l'expérience:","Utile","Partager",""
"DE","https://fr.trustpilot.com/users/5acbab874de5666d34c0456b","DELGERY","2 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","1 juin 2022","https://fr.trustpilot.com/reviews/62971b8835343b8f5b5deb01","A éviter","A éviter, je leur ai acheté un vase qui fuit. Le SAV me propose d'acheter un autre vase. Très mauvaise qualité à éviter.","01 juin 2022","Date de l'expérience:","Utile","Partager",""
"CL","https://fr.trustpilot.com/users/5eed510dab682623b58aa524","Client","6 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","1 juin 2022","https://fr.trustpilot.com/reviews/629685fc35343b8f5b5dab39","J'ai souscris à un abonnement La…","J'ai souscris à un abonnement La Redoute + qui permet de recevoir à domicile gratuitement les articles éligibles. Suite à plusieurs commandes sur La Redoute Intérieur je n'ai jamais été déçu. Que ce soit de la livraison, de la qualité ou du montage. Et pourtant j'ai commandé un séjour complet: table, buffet et meuble TV. Des table de nuit, des accessoires déco... J'ai regardé les avis par curiosité et j'ai été assez surpris de voir une note aussi basse...","15 janvier 2022","Date de l'expérience:","Utile","Partager",""
"LA","https://fr.trustpilot.com/users/61fd53765ea67f0012f6ea8c","Laura Alias","7 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","24 mai 2022","https://fr.trustpilot.com/reviews/628c90404b16276ac98e9c7d","Buffet blanc","Buffet, 3 portes 3 tiroirs, Authentic StyleCommande pour un buffetPlanification pour la livraison du colis, tous se passent bien.Colis livré, bas du carton déchiré, mais pas troué.C'est quand j'ai ouvert le colis pour monter mon meuble que j'ai pu constater que le plateau du buffet était éclaté au bord, coté visible et les plaques de bois pour protégé l'arrière du meuble.Produit lourd, j'ai déjà tout déballé...Sinon faut tout renvoyer.J'ai fait avec, j'ai gardé un produit cassé, j'ai été sympa.Je reçois, un mail pour donner mon avis.Je donne mon avis.Ben, mon avis a été rejeté, ne correspond pas.Quoi ? Je n'ai pas le droit de dire la vérité ? Il faut que je mente ?Pour que d'autres personnes se retrouvent comme moi ?Si la redoute ne garde que les avis qui les intéressent, dans ce cas-là, c'est que des mensonges !Plus jamais je commande chez la redoute !","24 mai 2022","Date de l'expérience:","Utile","Partager","1"
"CD","https://fr.trustpilot.com/users/62594329b1ec17001261f38d","Claire DB","3 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","24 mai 2022","https://fr.trustpilot.com/reviews/628c80b3045d025d3a9ccd40","Problème partenaire livraison La Redoute Intérieurs","Malgré un service client adorable, je n'aurai jamais reçu ma commande La Redoute Intérieurs à cause de leur partenaire de livraison Relais Colis. Quatre tentatives de livraisons, bloquée chez moi à attendre l'œil rivé sur mon téléphone, en vain. Dommage.","24 mai 2022","Date de l'expérience:","Utile","Partager","2"
"","https://fr.trustpilot.com/users/5f7888d22af0b73bf79e30ce","Catherine Grv","2 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","22 mai 2022","https://fr.trustpilot.com/reviews/628a7967045d025d3a9b6276","Publicité anti-animaux","Publicité anti animaux Honte à la redoute Écœurant !!!","22 mai 2022","Date de l'expérience:","Utile","Partager","2"
"ZR","https://fr.trustpilot.com/users/5c4f3c59c24eb6e6f80f45f7","Zephira Roneiles","4 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","22 mai 2022","https://fr.trustpilot.com/reviews/628a77524b16276ac98d216e","votre publicité à la télé","je n'ai pas fait de commande, mais je dois vous avouez que votre pub  qui passe en boucle à la télé, m'énerve et ne me donne pas envie de commander chez vous, pas envie d'aller voir votre site. je ne sais pas si les autres téléspectateurs ont la même opinion, mais franchement comment peut ont croire que  faire une pub où on montre une mère qui trouve prêtexte de commander un canapé pour ne pas acheter un chien à son fils c'est marant ?c'est quoi le  sentiment que vous pensez que la mère va transmettre au public ? ça donne envie de commander vous croyez ?  et ben pas moi. j'espère que votre campagne va bientôt s'arrêter parce que je ne supporte vraiment plus cette pub et j'en arrive à changer de chaine quand elle arrive. je suis mère de famille.","22 mai 2022","Date de l'expérience:","Utile","Partager","3"
"MJ","https://fr.trustpilot.com/users/53ccdcf70000640001800647","Melle Jessica","6 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","21 mai 2022","https://fr.trustpilot.com/reviews/6288e3eb4b16276ac98c3aa6","Expédition rapide et service client disponible","2 commandes passées livrées très rapidement (un expédié par la Redoute et un autre par un autre vendeur). Le service client répond rapidement, personnellement très satisfaite! Beaucoup de choix de produits à bons prix : certains avec de bonnes réductions!","21 mai 2022","Date de l'expérience:","Utile","Partager",""
"FF","https://fr.trustpilot.com/users/62874a2fcfecdd0012e0d359","FFO","1 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","20 mai 2022","https://fr.trustpilot.com/reviews/62874a4b045d025d3a994068","Suite à une livraison d’un meuble…","Suite à une livraison d’un meuble arrivé cassé en avril, impossible de faire reprendre rapidement le colis. Le remboursement n’étant possible qu’une fois le colis repris, La Redoute bloque donc l’argent ! Bref, la relation client n’existe pas. Je ne recommande pas l’achat sur le site.","20 mai 2022","Date de l'expérience:","Utile","Partager","3"
"KM","https://fr.trustpilot.com/users/61e8489e38c8fd0012eb3b9f","Karine Moutama","3 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","19 mai 2022","https://fr.trustpilot.com/reviews/628653874b16276ac98a5785","Ne pas payer en CB différé","Surtout ne pas payer en carte à débit différé.En cas de remboursement, vous n aurez votre argent qu à la fin du mois. C'est un peu facile de garder le cash comme ça.","19 mai 2022","Date de l'expérience:","Utile","Partager","1"
"TM","https://fr.trustpilot.com/users/5e3aa68a12b06c55c2ec5612","thierry masin","5 avis","BE","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","19 mai 2022","https://fr.trustpilot.com/reviews/6285fcbe045d025d3a982ca0","Votre publicité est écoeurante","Votre publicité est écoeurante, tant pour le respect des animaux que pour l'image qu'elle renvoie de l'enfant élevé dans une famille ou l'égoïsme de cette mère est insupportable . Arretez de passer cette pub infame, je ne saurais plus faire confiance à une  entreprise méprisante.","19 mai 2022","Date de l'expérience:","Utile","Partager","2"
"PA","https://fr.trustpilot.com/users/5fea5013f2bbba001966cb23","Particulier","12 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","18 mai 2022","https://fr.trustpilot.com/reviews/62840343045d025d3a96b9d7","J'attends la livraison d'une table de…","J'attends la livraison d'une table de salle à manger pour le 16/05 (date que j'ai bien confirmée) . Personne ne vient ni m'appelle. Après 3 appels au service client dans la journée, on m'annonce que le livreur qui est un sous traitant ne viendra pas et que l'on me contactera pour une nouvelle date. Aujourd'hui 17/05, je rappelle car je vois une date au 18/05 à laquelle je ne serai pas disponible. La conseillère qui n'est probablement pas en France me répète son discours, le transporteur va vous appeler pour fixer une date.... Conclusion, livraison catastrophique du mobilier, je confirme les avis précédents. Ma table de salle à manger n'est pas livrée, je ne suis pas informée, j'ai perdu une journée de travail et je ne sais toujours pas quand le livreur aura décider de faire son travail et de me contacter pour procéder à la livraison. Le service client est lamentable également, les conseillers vous répètent le même discours sans chercher à trouver une solution puis finissent par vous dire que si vous n'avez pas d'autre question ils vont raccrocher !!!! Amazon au moins assure ses livraisons et ses retours sans problème ce qui n'est pas le cas de la redoute ameublement.....","17 mai 2022","Date de l'expérience:","Utile","Partager","2"
"CG","https://fr.trustpilot.com/users/6283d03a4a9f5900124cb4ba","Christel Godon","1 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","Actualisé le 17 mai 2022","https://fr.trustpilot.com/reviews/6283d060045d025d3a967ca5","Une étoile parce qu'on ne peut pas…","Une étoile parce qu'on ne peut pas mettre zero.Propose un article à la vente alors que le stock est épuisé. J'ai fait une commande en janvier, une autre en mai, et a chaque fois, le pb s'est présenté. La Redoute autorise la commande, donne une date de livraison. C'est pcq je n'ai pas reçu le produit a la date indiquée que j'ai vu que celui-ci était épuisé depuis.","17 mai 2022","Date de l'expérience:","Utile","Partager","2"
"","https://fr.trustpilot.com/users/5a5e70250000ff000b01e038","Gaëlle BLIGNY","5 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","16 mai 2022","https://fr.trustpilot.com/reviews/62817d55166eb7ecbf47d554","1 étoile car on ne peut pas mettre 0…","1 étoile car on ne peut pas mettre 0 étoile ! Maintenant nous boycottons la Redoute qui Maintenant nous écœure ! Votre pub est abject ! Mais gardez-les vos canapés qui sont tellement affreux ! Vous nous donnez envie de vomir tellement vous êtes immonde envers les animaux !","02 mai 2022","Date de l'expérience:","Utile","Partager","2"
"BO","https://fr.trustpilot.com/users/57badbef0000ff000a3d0088","BOSC","3 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","13 mai 2022","https://fr.trustpilot.com/reviews/627e5646f03a9893e98c8ad0","J'ai fait une commande que je souhaite…","J'ai fait une commande que je souhaite retourner.Je suis enceinte, j'ai 4 gros colis  de 10kg chacunLa ou la Redoute fait de belles promesses, la realité est tout le contraire!!!! Tapez vous meme ""la redoute comment-retourner-un-article-volumineux"" :soit disantils récupèrent le colis a domiciledans la vraie vie, j'ai du le rapporter moi meme en point relais (plus de 10kg dans chaque main enceinte, avec les points relais qui ont fermé, qui n'existent plus etc.. j'en ai fait 5)c'est honteuxet mensongeret dangereuxj'ai envie de deposer plainte ce n'est pas normal","13 mai 2022","Date de l'expérience:","Utile","Partager","3"
"BM","https://fr.trustpilot.com/users/5a6b43a40000ff000b06a8ed","brigitte mazur","3 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","12 mai 2022","https://fr.trustpilot.com/reviews/627d516cf03a9893e98bd5be","La pub avec le canapé à ch....","La pub avec le canapé à ch....Il est temps que la redoute prennes sa retraite.","12 mai 2022","Date de l'expérience:","Utile","Partager","2"
"AD","https://fr.trustpilot.com/users/5fd105f2574e73001bab6e4d","alfred dupond","5 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","11 mai 2022","https://fr.trustpilot.com/reviews/627c03a5f03a9893e98abc3a","Publicité pour l'achat du canapé plutôt…","Publicité pour l'achat du canapé plutôt que l'adoption d'un chien est lamentable ! Plus d'humanité mais du matérialisme.  Répugnant. De grâce,  arrêtez de diffuser cette publicité !","11 mai 2022","Date de l'expérience:","Utile","Partager","3"
"YG","https://fr.trustpilot.com/users/61cd79bdd6e4ec0012db6811","yannick gillet","4 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","11 mai 2022","https://fr.trustpilot.com/reviews/627ba0c7f03a9893e98a3dfa","Regarde la pub de la redoute L actrice…","Regarde la pub de la redoute L actrice demande a son fils d attendre 15 ans pour adopter un chien car s est connu que tout les chiens abime les meuble la redoute La redoute n aime pas les animaux s est scandaleux","11 mai 2022","Date de l'expérience:","Utile","Partager","3"
"JP","https://fr.trustpilot.com/users/6268f48427e64c0012e3dbc3","J P","3 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","4 mai 2022","https://fr.trustpilot.com/reviews/627234fbf03a9893e9831446","Lamentable La Redoute","Lamentable ! Produit commandé sans être informée que c'était un sous traitant qui envoyait le produit. Au moment du retour gratuit la Redoute se défile et m'envoie vers un commerçant dont j'ignore l'existence.. frais de retour payant !! Plus jamais !!! Minable façon de procéder. Amazone assiste mieux ses clients !!!","04 mai 2022","Date de l'expérience:","Utile","Partager","2"
"VB","https://fr.trustpilot.com/users/626cd69a2c63630012bf4148","Vincent Berger","1 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","30 avr. 2022","https://fr.trustpilot.com/reviews/626cd6b3f03a9893e97f6145","Attention à kha home design revendeur de…","Attention kha home design revendeur de mauvaise foie...ne livre pas ces commandes et ne se remet pas en cause!!!! Passé par la redoute pour commander un meuble tv du revendeur kha home design en février 2022, j'ai validé cet achat avec un paiement specifique pour une livraison rapide entre le 8 et le 14 mars 2022. Sans nouvelles de leur part, je les ai rappelé le 15 mars, et suis tombé sur la plate-forme la redoute qui n'était au courant de rien et ma demande d'envoyer une demande à kha home design. Le service de ce revendeur correspond au néant le plus total une réponse qui me dit d'une que le meuble ne sera pas livré avant fin avril (meuble toujours pas livré le 30 avril...et pas de nouvelles) et surtout qu'aucune remise correspondant à ma livraison rapide chez moi ne serait attribué à la potentielle future livraison. Fuyez kha home design et fuyez la redoute puisqu'ils font confiance à kha home design et ne vous aide pas avec des revendeurs frauduleux","30 avril 2022","Date de l'expérience:","Utile","Partager","3"
"","https://fr.trustpilot.com/users/626be1898385d5001288a349","Jeanne Haras","1 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","29 avr. 2022","https://fr.trustpilot.com/reviews/626be190166eb7ecbf3820d6","J'ai commandé un canapé en mars (2…","J'ai commandé un canapé en mars (2 modules), l'un des deux modules est arrivé dans la mauvaise couleur (personne ne s'est jamais dit que c'était bizarre d'avoir deux modules pas assortis). Résultat : 2 mois après je suis sans canapé. On m'explique que je serais remboursée sous 4 semaines et qu'ensuite il faudra attendre août avant de recevoir mon canapé si je repasse commande. On marche sur la tête ! Service déplorable.","29 avril 2022","Date de l'expérience:","Utile","Partager","1"
"JE","https://fr.trustpilot.com/users/619ca36e7d570d00122ae82a","Jenna","43 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","23 avr. 2022","https://fr.trustpilot.com/reviews/6263d6f17b2618e9fea3b48c","A éviter absolument, publicité mensongère !","J'étais cliente de La Redoute il y a très longtemps quand ils étaient une société respectueuse. Maintenant bienvenue aux chinoiseries en tous genres et aux arnaques ! Attention à leur publicité mensongère où des produits sont nommés avec des titres très alléchants mais qui ne sont pas du tout en réalité fait dans la matière indiquée. Signalement effectué plusieurs fois, ils s'en moquent donc essaient sciemment de rouler le client potentiel... lamentable !","23 avril 2022","Date de l'expérience:","Utile","Partager","3"
"BF","https://fr.trustpilot.com/users/5defbb270f7962767d2e80f6","BFGR","6 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","Actualisé le 19 avr. 2022","https://fr.trustpilot.com/reviews/625e78c62b3c3c43cfd67146","A fuir !  produits non conformes à la commande et Aucun respect du client","19 04 22A fuir !Commande de deux chemisettes annoncées ‘’pur coton’’Réception de produits bas de gamme avec 30 % de polyesterDemande de reprise du colis sur leur site, à deux reprises, sans proposition claire (envoi par mail d'étiquette à imprimer avec adresse de retour gratuit par exemple)Aucun moyen de suivre sa réclamation car mes messages n’apparaissent plus lors du retour sur mon compte (il faut penser avec ce genre de marchand à faire des copies d’écrans…) Je préfère renoncer devant un tel mépris du client","19 avril 2022","Date de l'expérience:","Utile","Partager","3"
"FM","https://fr.trustpilot.com/users/566bf3650000ff0001f2bdc7","Frédéric Maginot","32 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","18 avr. 2022","https://fr.trustpilot.com/reviews/625d7f9fc7628b203bafac2b","Ça change de ma précédente expérience","Ça change de ma précédente expérience sur le site Redoute.fr où la livraison avait été catastrophique (sous sous traitée à des bras cassés (pour rester poli), 1 mois ½ pour recevoir un colis défoncé). Table en marbre AM.PM commandée en promo, expédiée rapidement et livrée rapidement sur RDV et en bon état. Seul point légèrement négatif le livreur avait légèrement dépassé le créneau horaire de livraison. Rien à redire.","12 avril 2022","Date de l'expérience:","Utile","Partager",""
"HB","https://fr.trustpilot.com/users/61b34bc5aefb8f00131f5ae3","Hans Birr","4 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","13 avr. 2022","https://fr.trustpilot.com/reviews/6256f608c7628b203baba6f8","Un avis positif de plus","Un avis positif de plusJ’ai commandé une jolie commode Alice garden à la redoute.Une fois ma commande effectuée je me fais livré un joli colis sur palette .Surprise à l’ouverture ma commode s’est transformée en piscine gonflable.Après plusieurs mails plusieurs photos demandées par la redoute et son fournisseur Alice’s garden un mail reviens de manière récurrente quel est votre problème. Un vrai dialogue de sourd.Ma question est :dans quel but?Dois je remplacer ma commode par une piscine gonflable?J’en peux plus de leur service après-vente !Au secours!!!!!","13 avril 2022","Date de l'expérience:","Utile","Partager","2"
